features
enforce respectful conduct
enforce on topic content
ban low effort content
ban spam
ban illegal content
ban harmful sexual content
ban ai generated content
ban misinformation
ban self promotion
ban advertising
prohibit forbidden topic discussion
prohibit personal attacks
prohibit harassment
prohibit trolling
prohibit hate speech
